broad_category,shallow_category_name,Type,Color,Pattern Type,Length,Fit Type,Neckline,Sleeve Length,Sleeve Type,Hem Shaped,Waist Line,Details,Style
TOPS,Women Knit Tops,-,beige,plain,-,-,halter,sleeveless,-,-,-,backless|tie back,-
TOPS,Women T-Shirts,-,white,plain,regular,slim fit,high neck,long sleeve,regular sleeve,-,-,-,basics
TOPS,Women T-Shirts,-,white,plain,regular,slim fit,high neck,long sleeve,regular sleeve,-,-,rib-knit,basics
TOPS,Women T-Shirts,-,white,plain,regular,slim fit,round neck,long sleeve,regular sleeve,-,-,-,basics
TOPS,Women T-Shirts,-,white,plain,regular,slim fit,round neck,long sleeve,regular sleeve,-,-,rib-knit,basics
TOPS,Women Tank Tops & Camis,cami,white,plain,regular,regular fit,spaghetti strap,-,-,-,-,-,basics
TOPS,Women Tank Tops & Camis,tank,black,plain,regular,slim fit,deep v neck,-,-,-,-,rib-knit,basics
TOPS,Women T-Shirts,-,black,plain,regular,slim fit,high neck,long sleeve,regular sleeve,-,-,-,basics
TOPS,Women T-Shirts,-,black,plain,regular,slim fit,high neck,long sleeve,regular sleeve,-,-,-,basics
TOPS,Women T-Shirts,-,black,plain,regular,slim fit,high neck,long sleeve,regular sleeve,-,-,-,basics
TOPS,Women T-Shirts,-,black,plain,regular,slim fit,round neck,long sleeve,regular sleeve,-,-,rib-knit,basics
TOPS,Women T-Shirts,-,black,plain,regular,slim fit,square neck,long sleeve,regular sleeve,-,-,-,basics
TOPS,Women T-Shirts,-,black,plain,regular,slim fit,stand collar,short sleeve,regular sleeve,-,-,rib-knit,basics
TOPS,Women Blouses,shirt,white,plain,long,regular fit,collar,long sleeve,regular sleeve,-,-,button front,basics
TOPS,Women Tank Tops & Camis,tank,white,plain,crop,slim fit,scoop neck,-,-,-,-,rib-knit,basics
TOPS,Women Tank Tops & Camis,tank,white,plain,crop,slim fit,scoop neck,-,-,-,-,rib-knit,basics
TOPS,Women Tank Tops & Camis,tank,white,plain,crop,slim fit,scoop neck,-,-,-,-,-,basics
TOPS,Women Tank Tops & Camis,cami,white,plain,crop,slim fit,spaghetti strap,-,-,-,-,-,basics
TOPS,Women T-Shirts,-,white,plain,crop,slim fit,stand collar,long sleeve,regular sleeve,-,-,-,basics
TOPS,Women Tank Tops & Camis,tank,white,plain,crop,slim fit,straps,-,-,-,-,-,basics
TOPS,Women Tank Tops & Camis,tank,multicolor,plain,crop,slim fit,scoop neck,-,-,-,-,rib-knit,basics
TOPS,Women Tank Tops & Camis,tank,multicolor,plain,crop,slim fit,stand collar,-,-,-,-,rib-knit,basics
TOPS,Women Tank Tops & Camis,tank,black,plain,crop,slim fit,notched,-,-,-,-,rib-knit,basics
TOPS,Women Tank Tops & Camis,tank,black,plain,crop,slim fit,round neck,-,-,-,-,rib-knit,basics
TOPS,Women Tank Tops & Camis,cami,black,plain,crop,slim fit,spaghetti strap,-,-,-,-,-,basics
TOPS,Women Tank Tops & Camis,cami,black,plain,crop,slim fit,spaghetti strap,-,-,-,-,rib-knit,basics
TOPS,Women Tank Tops & Camis,tank,black,plain,crop,slim fit,square neck,-,-,-,-,rib-knit,basics
TOPS,Women Tank Tops & Camis,tank,black,plain,crop,slim fit,stand collar,-,-,-,-,-,basics
TOPS,Women Tank Tops & Camis,tank,black,plain,crop,slim fit,v neck,-,-,-,-,rib-knit,basics
TOPS,Women Bodysuits,tee,white,plain,-,skinny,high neck,long sleeve,-,-,natural,-,basics
TOPS,Women Bodysuits,tee,white,plain,-,skinny,round neck,short sleeve,regular sleeve,-,natural,-,basics
TOPS,Women Bodysuits,tee,white,plain,-,skinny,round neck,long sleeve,regular sleeve,-,natural,-,basics
TOPS,Women Bodysuits,tee,white,plain,-,skinny,scoop neck,short sleeve,regular sleeve,-,natural,-,basics
TOPS,Women Bodysuits,tee,white,plain,-,skinny,stand collar,cap sleeve,regular sleeve,-,natural,rib-knit,basics
TOPS,Women Bodysuits,-,black,plain,-,regular fit,round neck,long sleeve,-,-,natural,-,basics
TOPS,Women Bodysuits,tee,black,plain,-,skinny,round neck,cap sleeve,regular sleeve,-,natural,-,basics
TOPS,Women Bodysuits,tee,black,plain,-,skinny,round neck,cap sleeve,regular sleeve,-,natural,-,basics
TOPS,Women Bodysuits,tank,black,plain,-,skinny,round neck,sleeveless,-,-,natural,-,basics
TOPS,Women Bodysuits,tee,black,plain,-,skinny,scoop neck,long sleeve,regular sleeve,-,natural,rib-knit,basics
TOPS,Women Bodysuits,tee,black,plain,-,skinny,stand collar,short sleeve,regular sleeve,-,natural,-,basics
